MatchID,VPDES Hydrocode,VPDES HydroID,VPDES AdminID,VPDES Name,VWUDS Hydrocode,VWUDS HydroID,VWUDS Name,VWUDS Source,Sector,VPDES % total,VWUDS % total,Average Discharge MGD,Average Withdrawal MGD,Ave Consumption,,,
93,echo_VA0024732,441281,439821,MASSANUTTEN PUBLIC SERVICE CORPORATION STP,vwuds_0245,73512,MASSANUTTEN PUBLIC SERV CORP: MASSANUTTEN SERVICE AREA,Well,Municipal,0.003%,0.009%,0.160,0.639,74.90%,,,
94,echo_VA0090948,441994,440534,RAPIDAN WWTP,vwuds_0813,74154,RAPIDAN SERVICE AUTHORITY: RAPIDAN RIVER WTP,Surface Water Intake,Municipal,0.001%,0.009%,0.042,0.603,93.10%,,,
95,echo_VA0026468,441323,439863,WOODSTOCK STP,vwuds_0093,72421,"WOODSTOCK, TOWN OF: NORTH FORK SHENANDOAH WTP",Surface Water Intake,Municipal,0.009%,0.008%,0.480,0.585,17.88%,,,
96,echo_VA0089940,441932,440472,PURCELLVILLE TOWN WATER TREATMENT PLANT,vwuds_0273,72513,"PURCELLVILLE, TOWN OF: PURCELLVILLE SERVICE AREA",Surface Water Intake,Municipal,0.000%,0.008%,0.007,0.580,98.77%,,,
97,echo_VA0088111,441836,440376,LEE COUNTY PUBLIC SERVICE AUTHORITY-ROSE HILL WWTP,vwuds_0823,74290,LEE COUNTY PUBLIC SERVICE: ROSE HILL SERVICE AREA,Surface Water Intake,Municipal,0.000%,0.008%,0.020,0.534,96.34%,,,
98,echo_VA0026433,441321,439861,ELKTON STP,vwuds_0105,73481,"ELKTON, TOWN OF: ELKTON SERVICE AREA",Well,Municipal,0.005%,0.007%,0.292,0.530,44.95%,,,
99,echo_VA0064394,441572,440112,STANLEY STP,vwuds_0212,72237,"STANLEY, TOWN OF: STANLEY SERVICE AREA",Well,Municipal,0.001%,0.007%,0.051,0.526,90.24%,,,
100,echo_VA0020745,441175,439715,LEBANON WWTP,vwuds_0727,71746,"LEBANON, TOWN OF: LEBANON WTP",Surface Water Intake,Municipal,0.004%,0.007%,0.248,0.504,50.77%,,,
101,echo_VA0020303,441155,439695,CREWE WWTP,vwuds_0402,72976,"CREWE, TOWN OF: CREWE WTP",Surface Water Intake,Municipal,0.002%,0.007%,0.094,0.498,81.18%,,,
102,echo_VA0026409,441319,439859,TOWN OF COLONIAL BEACH WASTEWATER TREATMENT PLANT,gwp_0434_A,66992,"TOWN OF COLONIAL BEACH: COLONIAL BEACH, TOWN OF",Well,Municipal,0.012%,0.007%,0.677,0.490,-38.23%,,,
103,echo_VA0020524,441164,439704,CHATHAM TOWN - SEWAGE TREATMEN,vwuds_0587,73310,TOWN OF CHATHAM : CHATHAM WTP,Surface Water Intake,Municipal,0.002%,0.006%,0.111,0.428,73.95%,,,
104,echo_VA0020532,441165,439705,BERRYVILLE WWTP,vwuds_0719,74380,"BERRYVILLE, TOWN OF: BERRYVILLE WTP",Surface Water Intake,Municipal,0.000%,0.005%,0.000,0.372,100.00%,,,
105,echo_VA0020184,441150,439690,VICTORIA EAST SEWAGE TREATMENT PLANT,vwuds_0405,73524,"VICTORIA, TOWN OF: VICTORIA WTP",Surface Water Intake,Municipal,0.001%,0.005%,0.067,0.345,80.56%,,,
106,echo_VA0088684,441866,440406,AMHERST COUNTY LANDFILL PERMIT NUMBER 181,vwuds_0600,72446,"AMHERST, TOWN OF: AMHERST (TOWN) WTP",Surface Water Intake,Municipal,0.000%,0.005%,0.003,0.335,99.21%,,,
107,echo_VA0023825,441255,439795,SHENANDOAH STP,vwuds_0227,72396,"SHENANDOAH, TOWN OF: SHENANDOAH (TOWN) SERVICE AREA",Well,Municipal,0.001%,0.005%,0.062,0.320,80.74%,,,
108,echo_VA0026441,441322,439862,MT JACKSON STP,vwuds_0208,72344,"MOUNT JACKSON, TOWN OF: MOUNT JACKSON SERVICE AREA",Well,Municipal,0.003%,0.004%,0.142,0.307,53.63%,,,
109,echo_VA0090263,441951,440491,TOWN OF BROADWAY REGIONAL WWTF,vwuds_0720,74345,"BROADWAY, TOWN OF: BROADWAY WTP",Surface Water Intake,Municipal,NA,0.004%,NA,0.306,NA,,,
110,echo_VA0022985,441231,439771,STUART TOWN - WASTE WATER TREATMENT PLANT,vwuds_0796,74464,"STUART, TOWN OF: STUART WTP",Well,Municipal,0.002%,0.004%,0.098,0.290,66.10%,,,
111,echo_VA0026379,441317,439857,CHILHOWIE REGIONAL WASTEWATER TREATMENT PLANT,vwuds_0165,72685,"CHILHOWIE, TOWN OF: CHILHOWIE SERVICE AREA",Surface Water Intake,Municipal,0.003%,0.004%,0.161,0.285,43.54%,,,
112,echo_VA0089443,441904,440444,HILLSVILLE WWTP,vwuds_0557,73765,"HILLSVILLE, TOWN OF: HILLSVILLE WTP",Surface Water Intake,Municipal,0.005%,0.004%,0.276,0.274,-0.75%,,,
113,echo_VA0026221,441312,439852,ST PAUL WASTEWATER TREATMENT PLANT,vwuds_0563,73771,"ST PAUL, TOWN OF: ST. PAUL WTP",Surface Water Intake,Municipal,0.001%,0.004%,0.037,0.272,86.50%,,,
114,echo_VA0071471,441637,440177,TAPPAHANNOCK TOWN OF WWTP,gwp_0435_A,67693,TOWN OF TAPPAHANNOCK: TOWN OF TAPPAHANNOCK,Well,Municipal,0.002%,0.003%,0.132,0.235,43.92%,,,
115,echo_VA0073636,441661,440201,"NAVAL SUPPORT FACILITY, DAHLGR",gwp_1804_A,67334,DEPARTMENT OF NAVY: DAHLGREN BASE,Well,Municipal,NA,0.003%,NA,0.228,NA,,,
116,echo_VA0021067,441190,439730,NAVAL SUPPORT FACILITY DAHLGREN,gwp_1804_A,67334,DEPARTMENT OF NAVY: DAHLGREN BASE,Well,Municipal,0.002%,0.003%,0.089,0.228,60.96%,,,
117,echo_VA0021326,441202,439742,RURAL RETREAT WASTEWATER TREATMENT PLANT,vwuds_0189,73292,"RURAL RETREAT, TOWN OF: RURAL RETREAT SERVICE AREA",Surface Water Intake,Municipal,0.002%,0.003%,0.084,0.228,63.07%,,,
118,echo_VA0065374,441582,440122,GROTTOES WWTP,vwuds_0134,72496,"GROTTOES, TOWN OF: GROTTOES SERVICE AREA",Well,Municipal,0.002%,0.003%,0.092,0.211,56.39%,,,
119,echo_VA0020168,441148,439688,CLARKSVILLE WWTP,vwuds_0413,74355,"CLARKSVILLE, TOWN OF: CLARKSVILLE WTP",Surface Water Intake,Municipal,0.002%,0.003%,0.088,0.206,57.01%,,,
120,echo_VA0060887,441510,440050,LAKE LAND OR WASTEWATER TREATMENT PLANT,vwuds_0501,73768,AQUA VA - DIV OF AQUA AMERICA: LAKE LAND 'OR SERVICE AREA,Well,Municipal,0.001%,0.003%,0.062,0.193,68.00%,,,
121,echo_VA0061913,441529,440069,POUND WWTP,vwuds_0724,72654,"POUND, TOWN OF: POUND WTP",Surface Water Intake,Municipal,0.003%,0.003%,0.174,0.178,2.19%,,,
122,echo_VA0083712,441761,440301,TOWN OF GLASGOW WWTP,vwuds_0215,73484,"GLASGOW, TOWN OF: GLASGOW SERVICE AREA",Well,Municipal,0.002%,0.002%,0.118,0.177,33.28%,,,
123,echo_VA0026891,441333,439873,WARSAW WASTEWATER TREATMENT PLANT,gwp_0445_A,67699,TOWN OF WARSAW: TOWN OF WARSAW,Well,Municipal,NA,0.002%,NA,0.167,NA,,,
124,echo_VA0063843,441567,440107,GRETNA TOWN - SEWAGE TREATMENT PLANT,vwuds_0578,73573,"GRETNA, TOWN OF: GRETNA WTP",Surface Water Intake,Municipal,0.002%,0.002%,0.090,0.164,45.06%,,,
125,echo_VA0086304,441783,440323,MARION WWTP,vwuds_0558,73871,"MARION, TOWN OF: MARION WTP",Surface Water Intake,Municipal,0.026%,0.002%,1.451,0.163,-789.42%,,,
126,echo_VA0022349,441217,439757,WEYERS CAVE WWTP,vwuds_0100,74078,AUGUSTA COUNTY SERVICE AUTH: WEYERS CAVE SERVICE AREA,Surface Water Intake,Municipal,0.004%,0.002%,0.238,0.156,-52.84%,,,
127,echo_VA0028380,441375,439915,STONEY CREEK SANITARY DISTRICT STP,vwuds_0114,73319,STONEY CREEK SANITARY DISTRICT: BRYCE MOUNTAIN SERVICE AREA,Well,Municipal,0.003%,0.002%,0.151,0.152,1.10%,,,
128,echo_VA0020737,441174,439714,BOWLING GREEN WASTEWATER TREATMENT PLANT,gwp_0304_A,67184,TOWN OF BOWLING GREEN: TOWN OF BOWLING GREEN WATER SYSTEM,Well,Municipal,0.001%,0.002%,0.029,0.151,80.44%,,,
129,echo_VA0022250,441215,439755,BROOKNEAL TOWN - FALLING RIVER LAGOON,vwuds_0590,73442,"BROOKNEAL, TOWN OF: BROOKNEAL WTP",Surface Water Intake,Municipal,0.000%,0.002%,0.014,0.142,90.43%,,,
130,echo_VA0022241,441214,439754,BROOKNEAL TOWN - STAUNTON RIVER LAGOON,vwuds_0590,73442,"BROOKNEAL, TOWN OF: BROOKNEAL WTP",Surface Water Intake,Municipal,0.000%,0.002%,0.015,0.142,89.27%,,,
131,echo_VA0026239,441313,439853,KENBRIDGE STP,vwuds_0404,73379,"KENBRIDGE, TOWN OF: KENBRIDGE WTP",Surface Water Intake,Municipal,0.001%,0.002%,0.060,0.141,57.49%,,,
132,echo_VA0020788,441177,439717,KILMARNOCK WASTEWATER TREATMENT PLANT,gwp_0437_A,67677,TOWN OF KILMARNOCK: TOWN OF KILMARNOCK,Well,Municipal,0.001%,0.002%,0.041,0.140,71.02%,,,
133,echo_VA0020508,441163,439703,EDINBURG STP,vwuds_0104,71614,"EDINBURG, TOWN OF: EDINBURG SERVICE AREA",Well,Municipal,0.001%,0.002%,0.050,0.129,61.15%,,,
134,echo_VA0031763,441410,439950,MARSHALL WASTEWATER TREATMENT PLANT,vwuds_0297,74453,FAUQUIER CO WATER & SAN AUTH: MARSHALL SERVICE AREA,Well,Municipal,0.002%,0.002%,0.100,0.124,19.21%,,,
135,echo_VA0022225,441213,439753,BUCHANAN TOWN - SEWAGE TREATMENT PLANT,vwuds_0632,68658,"BUCHANAN, TOWN OF: BUCHANAN (TOWN) SERVICE AREA",Well,Municipal,0.000%,0.002%,0.023,0.123,81.58%,,,
136,echo_VA0024775,441284,439824,MIDDLEBURG WASTEWATER TREATMENT PLANT,vwuds_0275,74360,"MIDDLEBURG, TOWN OF: MIDDLEBURG SERVICE AREA",Well,Municipal,0.001%,0.002%,0.037,0.121,68.98%,,,
137,echo_VA0023183,441237,439777,LOVETTSVILLE TOWN WASTEWATER TREATMENT FACILITY,vwuds_0463,73683,"LOVETTSVILLE, TOWN OF: LOVETTSVILLE SERVICE AREA",Well,Municipal,0.001%,0.002%,0.061,0.116,47.06%,,,
138,echo_VA0061549,441523,440063,TOMS BROOK-MAURERTOWN SANITARY DISTRICT,vwuds_0138,72691,STONEY CREEK SANITARY DISTRICT: TOMS BROOK-MAURERTOWN SD,Well,Municipal,0.001%,0.002%,0.041,0.112,63.31%,,,
139,echo_VA0021253,441198,439738,ONANCOCK TOWN - WASTE WATER TREATMENT PLANT,gwp_0442_A,67084,ONANCOCK TOWN OF: ONANCOCK TOWN OF,Well,Municipal,0.001%,0.002%,0.042,0.109,61.05%,,,
140,echo_VA0089729,441919,440459,NELSON COUNTY REGIONAL STP,vwuds_0241,71687,NELSON COUNTY SERVICE AUTH: LOVINGSTON SERVICE AREA,Well,Municipal,0.001%,0.002%,0.044,0.109,59.28%,,,
141,echo_VA0064424,441573,440113,INDEPENDENCE STP,vwuds_0179,72540,"INDEPENDENCE, TOWN OF: INDEPENDENCE SERVICE AREA",Well,Municipal,0.001%,0.001%,0.068,0.105,35.46%,,,
142,echo_VA0024058,441262,439802,KEYSVILLE WWTP,vwuds_0414,71652,"KEYSVILLE, TOWN OF: KEYSVILLE WTP",Surface Water Intake,Municipal,0.001%,0.001%,0.062,0.104,40.81%,,,
143,echo_VA0061859,441528,440068,COURTLAND TOWN - WASTEWATER TREATMENT PLANT,gwp_0439_A,67407,COURTLAND TOWN OF: COURTLAND TOWN OF,Well,Municipal,0.003%,0.001%,0.183,0.104,-76.28%,,,
144,echo_VA0076805,441693,440233,REMINGTON WASTEWATER TREATMENT PLANT,vwuds_0300,72745,"REMINGTON, TOWN OF: REMINGTON SERVICE AREA",Well,Municipal,0.016%,0.001%,0.879,0.091,-862.36%,,,
145,echo_VA0073156,441655,440195,MILLBORO STP,vwuds_1756,74427,"MILLBORO WATER ASSOCIATION, INC.: MILLBORO SERVICE AREA",Surface Water Intake,Municipal,0.000%,0.001%,0.010,0.091,89.04%,,,
146,echo_VA0026808,441331,439871,SALTVILLE TOWN - WWTP,vwuds_0194,71776,"SALTVILLE, TOWN OF: SALTVILLE SERVICE AREA",Well,Municipal,0.002%,0.001%,0.125,0.090,-39.89%,,,
147,echo_VA0023281,441239,439779,MONTEREY STP,vwuds_0249,72640,"MONTEREY, TOWN OF: MONTEREY SERVICE AREA",Well,Municipal,0.000%,0.001%,0.021,0.087,75.59%,,,
148,echo_VA0084212,441764,440304,CHURCHVILLE WTP,vwuds_0118,72564,AUGUSTA COUNTY SERVICE AUTH: CHURCHVILLE SERVICE AREA,Well,Municipal,NA,0.001%,NA,0.085,NA,,,
149,echo_VA0032034,441412,439952,US ARMY - FORT A P HILL - WILCOX CAMP,gwp_0031_A,90592,"FORT A. P. HILL, DEPARTMENT OF ARMY: FORT A. P. HILL WATER SYSTEM",Well,Municipal,0.000%,0.001%,0.024,0.083,70.77%,,,
150,echo_VA0029254,441385,439925,FERRUM TOWN  - SEWAGE TREATMENT PLANT,vwuds_0630,73443,FERRUM WATER & SEWERAGE AUTH: FERRUM WATER TREATMENT PLANT,Well,Municipal,0.001%,0.001%,0.052,0.082,36.03%,,,
151,echo_VA0025992,441309,439849,FLOYD TOWN - FLOYD CO - PUBLIC SERVICE AUTHORITY,vwuds_0799,72864,FLOYD COUNTY PSA: FLOYD SERVICE AREA,Well,Municipal,0.001%,0.001%,0.060,0.078,23.38%,,,
152,echo_VA0022845,441228,439768,RAPIDAN SERVICE AUTHORITY - MADISON POTW,vwuds_0477,72322,RAPIDAN SERVICE AUTHORITY: MADISON (TOWN) WTP,Surface Water Intake,Municipal,0.000%,0.001%,0.027,0.074,63.44%,,,
153,echo_VA0027910,441363,439903,MANAKIN FARMS WATEWATER TREATMENT PLANT (WWTP),vwuds_1389,73824,AQUA VA - DIV OF AQUA AMERICA: MANAKIN FARMS SERVICE AREA,Well,Municipal,0.000%,0.001%,0.017,0.067,75.23%,,,
154,echo_VA0020249,441152,439692,APPOMATTOX TRICKLING FILTER PLANT,vwuds_0665,71915,"APPOMATTOX, TOWN OF: APPOMATTOX (TOWN) SERVICE AREA",Well,Municipal,0.001%,0.001%,0.040,0.063,36.77%,,,
155,echo_VA0080527,441722,440262,CLEVENGERS VILLAGE WWTP,vwuds_2058,73185,CULPEPER COUNTY ENVIRONMENTAL SERVICES: CLEVENGERS VILLAGE,Well,Municipal,0.001%,0.001%,0.029,0.060,51.21%,,,
156,echo_VA0031011,441406,439946,WINTERGREEN MOUNTAIN WWTP,vwuds_0248,71693,NELSON COUNTY SERVICE AUTH: WINTERGREEN MTN SERVICE AREA,Well,Municipal,0.001%,0.001%,0.071,0.059,-20.35%,,,
157,echo_VA0062669,441546,440086,STONY CREEK WWTP,gwp_0397_A,66849,SUSSEX SERVICE AUTHORITY: STONY CREEK TOWN OF MUNICIPAL WATER SUPPLY SYSTEM,Well,Municipal,0.000%,0.001%,0.009,0.055,84.27%,,,
158,echo_VA0025470,441303,439843,SCOTTSVILLE WWTP,vwuds_0817,71781,RIVANNA WATER & SEWER AUTH: SCOTTSVILLE WTP,Surface Water Intake,Municipal,0.001%,0.001%,0.028,0.054,48.01%,,,
159,echo_VA0060364,441495,440035,FINCASTLE TOWN - REGIONAL SEWAGE TREATMENT PLANT,vwuds_0906,71688,"FINCASTLE, TOWN OF: FINCASTLE SERVICE AREA",Well,Municipal,0.000%,0.001%,0.014,0.052,72.65%,,,
160,echo_VA0064599,441574,440114,CRAIG NEW CASTLE PSA WWT PLANT,vwuds_0903,72052,CRAIG-NEW CASTLE PSA: NEW CASTLE WTP,Well,Municipal,0.001%,0.001%,0.077,0.048,-60.69%,,,
161,echo_VA0021172,441196,439736,WARRENTON TOWN SEWAGE TREATMENT PLANT,vwuds_0296,73551,"WARRENTON, TOWN OF: WARRENTON SERVICE AREA",Well,Municipal,0.029%,0.001%,1.587,0.045,-3447.99%,,,
162,echo_VA0029769,441399,439939,PO RIVER WATER AND SEWER WWTP,vwuds_0520,72842,"WOODFORD ESTATES MHC, LLC: INDIAN ACRES / PO RIVER W&S",Well,Municipal,0.000%,0.001%,0.006,0.043,85.84%,,,
163,echo_VA0024040,441261,439801,RINER WWTP,vwuds_0897,72545,MONTGOMERY CO PUBLIC SERV AUTH: RINER SERVICE AREA,Well,Municipal,0.000%,0.001%,0.012,0.042,71.25%,,,
164,echo_VA0088463,441849,440389,SURRY COUNTY WASTEWATER TREATMENT FACILITY,gwp_1380_A,67170,SURRY TOWN OF: SURRY TOWN OF,Well,Municipal,0.000%,0.001%,0.021,0.042,49.62%,,,
165,echo_VA0076881,441696,440236,CHASE CITY REGIONAL WWTP,vwuds_0411,73509,"CHASE CITY, TOWN OF: CHASE CITY SERVICE AREA",Well,Municipal,0.003%,0.001%,0.148,0.041,-258.26%,,,
166,echo_VA0067318,441608,440148,CLYDES DALE MOBILE COMMUNITY,gwp_1278_A,66976,BRACEY ENTERPRISES CLYDES DALE MOBILE HOME PARK: CLYDES DALE MOBILE HOME PARK,Well,Municipal,0.000%,0.000%,0.011,0.030,64.10%,,,
167,echo_VA0073733,441662,440202,CLOVER WWTP,vwuds_0418,73303,HALIFAX COUNTY: CLOVER SERVICE AREA,Well,Municipal,0.000%,0.000%,0.005,0.029,82.30%,,,
168,echo_VA0067245,441607,440147,TOWN OF BOONES MILL - SEWAGE TREATMENT PLANT,vwuds_1045,71831,"BOONES MILL, TOWN OF: BOONES MILL SERVICE AREA",Well,Municipal,NA,0.000%,NA,0.028,NA,,,
169,echo_VA0027901,441362,439902,HARRISTON WWTP,vwuds_0103,72567,AUGUSTA COUNTY SERVICE AUTH: HARRISTON SERVICE AREA,Well,Municipal,0.000%,0.000%,0.008,0.027,71.15%,,,
170,echo_VA0067881,441616,440156,FRIES WWTP,vwuds_0830,72682,"FRIES, TOWN OF: FRIES WTP",Surface Water Intake,Municipal,0.001%,0.000%,0.035,0.023,-51.20%,,,
171,echo_VA0086720,441793,440333,PRESIDENTIAL LAKES SECTION 14 STP,gwp_0070_1,67350,"AQUA VIRGINIA, INC.: PRESIDENTIAL LAKES #14 PUBLIC WATER SYSTEM",Well,Municipal,0.000%,0.000%,0.021,0.023,5.90%,,,
172,echo_VA0027855,441361,439901,WOODBRIDGE MOBILE HOME PARK STP,vwuds_0499,74225,"WOODBRIDGE MHP DRESSLER, BRAD: WOODBRIDGE MOBILE HOME PARK",Well,Municipal,0.000%,0.000%,0.007,0.020,65.99%,,,
173,echo_VA0026484,441324,439864,SCHUYLER STP,vwuds_0242,71689,NELSON COUNTY SERVICE AUTH: SCHUYLER SERVICE AREA,Surface Water Intake,Municipal,0.000%,0.000%,0.005,0.019,72.87%,,,
174,echo_VA0076350,441686,440226,WVWA - EAGLE ROCK  WWTP,vwuds_0634,73050,WESTERN VA WATER AUTHORITY: EAGLE ROCK ,Well,Municipal,0.000%,0.000%,0.001,0.019,95.67%,,,
175,echo_VA0091421,442029,440569,CALLAO WASTEWATER TREATMENT PLANT,gwp_1240_A,67321,"AQUA VIRGINIA, INC.: CALLAO PUBLIC WATER SYSTEM",Well,Municipal,0.000%,0.000%,0.009,0.019,53.59%,,,
176,echo_VA0068934,441627,440167,GLENWOOD MOBILE HOME PARK,gwp_0502_A,90589,"GLENWOOD MHC,LLC: GLENWOOD MOBILE HOME PARK",Well,Municipal,0.000%,0.000%,0.002,0.018,89.65%,,,
177,echo_VA0091405,442028,440568,CHESAPEAKE CITY - LAKE GASTON WTP,vwuds_0685,74327,"CHESAPEAKE, CITY OF: LAKE GASTON WTP",Surface Water Intake,Municipal,0.005%,0.000%,0.249,0.017,-1349.34%,,,
178,echo_VA0060712,441505,440045,REEDVILLE SANITARY DISTRICT,gwp_1263_A,66998,"AQUA VIRGINIA, INC.: REEDVILLE PUBLIC WATER SYSTEM",Well,Municipal,0.000%,0.000%,0.017,0.017,-0.67%,,,
179,echo_VA0087238,441805,440345,MONTVALE WASTEWATER TREATMENT PLANT,vwuds_0931,74150,"MONTVALE WATER COMPANY, INC: MONTVALE SERVICE AREA",Well,Municipal,0.000%,0.000%,0.004,0.015,75.63%,,,
180,echo_VA0092215,442084,440624,CEDAR CREEK WWTP,vwuds_2051,72481,BATH COUNTY SERVICE AUTHORITY: CEDAR CREEK SERVICE AREA,Well,Municipal,0.000%,0.000%,0.001,0.015,96.56%,,,
181,echo_VA0067938,441617,440157,NORTH SPRING BEHAVIORAL HEALTHCARE WWTP,vwuds_10060,72291,NORTH SPRING BEHAVIORAL HEALTHCARE/J. SCOTT ZEITER: NORTH SPRING,Well,Municipal,0.000%,0.000%,0.003,0.014,80.99%,,,
182,echo_VA0062421,441540,440080,NEWTON MOBILE COURT INC,vwuds_1741,72497,NEWTON MOBILE HOME COURT: NEWTON MOBILE HOME COURT,Well,Municipal,0.000%,0.000%,0.010,0.013,20.42%,,,
183,echo_VA0076830,441694,440234,VIRGILINA TOWN OF,vwuds_0421,72493,"VIRGILINA, TOWN OF: VIRGILINA SERVICE AREA",Well,Municipal,0.000%,0.000%,0.011,0.012,12.15%,,,
184,echo_VA0061590,441524,440064,CULPEPER WASTEWATER TREATMENT PLANT,vwuds_1433,72600,AQUA VA - DIV OF AQUA AMERICA: CULPEPER SERVICE AREAS,Well,Municipal,0.053%,0.000%,2.939,0.010,-27977.47%,,,
185,echo_VA0089273,441896,440436,WVWA - GLEN WILTON WWTP,vwuds_0978,72984,WESTERN VA WATER AUTHORITY: GLEN WILTON ,Well,Municipal,0.000%,0.000%,0.001,0.008,89.76%,,,
186,echo_VA0061409,441522,440062,WOODFORD ESTATES MHC LIMITED LIABILITY CORPORATION,vwuds_0048,71618,"WOODFORD ESTATES MHC, LLC: WOODFORD ESTATES",Well,Municipal,0.000%,0.000%,0.003,0.004,40.19%,,,
187,echo_VA0090140,441944,440484,SIX O FIVE VILLAGE M H P STP,vwuds_1982,72802,A-Z SERVICES: SIX-O-FIVE VILLAGE,Well,Municipal,0.000%,0.000%,0.004,0.004,2.44%,,,
188,echo_VA0023141,441236,439776,VDOT I81 REST AREA - BOTETOURT,vwuds_10038,74084,COMMONWEALTH OF VIRGINIA: I-81 BOTETOURT,Well,Municipal,0.000%,0.000%,0.001,0.003,60.73%,,,
189,echo_VA0021016,441188,439728,CLEVELAND STP,vwuds_0166,72668,"CLEVELAND, TOWN OF: CLEVELAND SERVICE AREA",Well,Municipal,0.000%,0.000%,0.009,0.002,-342.95%,,,
190,echo_VA0028461,441378,439918,RAPPAHANNOCK COMMUNITY COLLEGE - GLENNS CAMPUS,vwuds_10077,72534,RAPPAHANNOCK COMMUNITY COLLEGE: RAPPAHANNOCK COMMUNITY COLLEGE-GLENNS CAMPUS,Well,Municipal,0.000%,0.000%,0.002,0.001,-175.93%,,,
